,file,lines_uncovered,lines_count,lines_percent
17,/mnt/c/temp/cmake-qt5-socket-connector-small/window.cpp,217,596,63.59060402684564
9,/mnt/c/temp/cmake-qt5-socket-connector-small/javascript_engine.cpp,164,461,64.42516268980476
5,/mnt/c/temp/cmake-qt5-socket-connector-small/edge.cpp,130,370,64.86486486486487
13,/mnt/c/temp/cmake-qt5-socket-connector-small/qgraph.cpp,115,443,74.04063205417607
14,/mnt/c/temp/cmake-qt5-socket-connector-small/scene.cpp,98,304,67.76315789473685
10,/mnt/c/temp/cmake-qt5-socket-connector-small/node.cpp,83,350,76.28571428571429
11,/mnt/c/temp/cmake-qt5-socket-connector-small/node_palette_widget.cpp,70,316,77.84810126582279
0,/mnt/c/temp/cmake-qt5-socket-connector-small/build_cov/NodeGraphCore_autogen/EWIEGA46WW/moc_javascript_engine.cpp,66,92,28.26086956521739
1,/mnt/c/temp/cmake-qt5-socket-connector-small/build_cov/NodeGraphCore_autogen/EWIEGA46WW/moc_node_palette_widget.cpp,55,68,19.11764705882353
2,/mnt/c/temp/cmake-qt5-socket-connector-small/build_cov/NodeGraphCore_autogen/EWIEGA46WW/moc_qgraph.cpp,49,216,77.31481481481481
12,/mnt/c/temp/cmake-qt5-socket-connector-small/node_templates.cpp,46,121,61.98347107438017
3,/mnt/c/temp/cmake-qt5-socket-connector-small/build_cov/NodeGraphCore_autogen/EWIEGA46WW/moc_scene.cpp,31,49,36.734693877551024
18,/mnt/c/temp/cmake-qt5-socket-connector-small/xml_autosave_observer.cpp,30,145,79.3103448275862
15,/mnt/c/temp/cmake-qt5-socket-connector-small/socket.cpp,27,153,82.35294117647058
7,/mnt/c/temp/cmake-qt5-socket-connector-small/graph_factory.cpp,26,86,69.76744186046511
16,/mnt/c/temp/cmake-qt5-socket-connector-small/view.cpp,20,120,83.33333333333334
4,/mnt/c/temp/cmake-qt5-socket-connector-small/build_cov/NodeGraphCore_autogen/EWIEGA46WW/moc_view.cpp,17,47,63.829787234042556
8,/mnt/c/temp/cmake-qt5-socket-connector-small/graph_observer.cpp,16,103,84.46601941747572
6,/mnt/c/temp/cmake-qt5-socket-connector-small/ghost_edge.cpp,0,36,100.0
